"Reference","Qty","Value","Footprint","DNP","Purchase-URL"
"C1","1","1 nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","https://www.digikey.de/de/products/detail/samsung-electro-mechanics/CL21B102KBANNNC/3886678"
"C2","1","1 uf","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","",""
"D1,D3,D4","3","green","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","https://www.digikey.de/de/products/detail/liteon/LTST-C171GKT/386793"
"D2","1","yellow","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","https://www.digikey.de/de/products/detail/liteon/LTST-C171YKT/386807"
"D5","1","WE-TVS_SOT23-3L_824021","Package_TO_SOT_SMD:SOT-23-3","",""
"J1","1","RFPC-SMA27-F","Footprints:GRADCONN_RFPC-SMA27-F","",""
"J2","1","ICD15S13E4GV00LF","Footprints:AMPHENOL_ICD15S13E4GV00LF[1]","",""
"M1,M2,M3,M4","4","M4 Mounting Hole","Footprints:M4 Mounting Hole","",""
"R1","1","2k7","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","https://www.digikey.de/de/products/detail/yageo/RC0805JR-072K7L/728277"
"R2,R3","2","560R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","https://www.digikey.de/de/products/detail/yageo/RC0805JR-07270RL/728291"
"R4,R5,R6","3","5k6","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"R7,R8","2","560 Ohm","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"TP1,TP2,TP3,TP4,TP5,TP6","6","TestPoint","Footprints:Test Point","",""
"U1","1","RC1780HP-RC232","Footprints:Radiocrafts RC1780HP-RC232","","https://www.digikey.de/de/products/detail/radiocrafts-as/RC1780HP-RC232/7100620"
"ZP1","1","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","~"
"ZS1","1","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","~"
